CODI ESTRUCTURA Especie ALT COPA PIVI DRMA DEMA LUAR ANTR PRMO TROG ERRU PHOC TUTO TUME TUPH TUVI SYBO SYAT PHBO PHCO REGU REIG AECA PACR PAAT PAMA SIEU CEFA CEBR GAGL FRCO SECI LOCU PYRA EMCA G_m2_ha ALCDOM PEUSMHA RECHERB p_G_fina p_N_fina p_G_median p_N_median p_G_gruesa p_N_gruesa Dfina Dmedia Dgruesa DT SD_maderaFMG RECARBUSTIU TOTR TOTA GENR GENA SPER SPEA UBIR UBIA GRER GREA GRIR GRIA EXCR EXCA PARR PARA SOTR SOTA EDGR EDGA CORR CORA INHR INHA EXTR EXTA HOLR HOLA DHOR DHOA NLTR NLTA
39 BOEBV4 BV Uncinata 1940.069946 0 0 0 1 0 0 1 2 2 0 0 0 0 1 0 2 0 1 2 0 0 1 4 0 1 0 1 0 4 0 0 0 0 38.1 14.7 42.44 42 10.0703788 41.39344262 18.25191472 26.02459016 71.67770648 32.58196721 202 127 159 488 37.6342043 52 13 23 5 10 8 13 0 0 3 3 2 2 1 1 2 5 3 6 4 5 1 1 8 17 6 11 1 1 3 6 3 5
40 BURFM1 FM Uncinata 1879.523109 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 2 4 0 0 0 1 0 1 0 4 0 0 58.2 16.4 63.66 68 16.72236376 42.11453744 45.83595275 40.17621145 37.44168349 17.7092511 478 456 201 1135 153.9686115 52 9 18 2 2 7 16 0 0 2 2 1 1 1 1 2 6 0 0 2 3 1 2 6 13 5 10 1 1 2 6 1 1
41 BURFM2 FM Uncinata 1934.700089 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 2 0 0 2 3 1 0 0 1 1 1 0 0 0 0 65.1 16.8 403.19 72 32.16929374 65.15885837 45.87941595 28.00215401 21.95129031 6.838987614 1210 520 127 1857 548.245383 14 10 15 4 5 6 10 0 0 2 2 1 1 1 1 3 6 0 0 2 3 2 3 6 9 5 7 1 1 3 6 1 1
42 BURFM3 FM Uncinata 1836.750876 0 0 0 1 0 0 1 0 0 0 0 0 2 1 0 0 0 0 2 0 0 2 3 0 0 0 1 0 1 0 1 1 0 61.7 15.8 84.88 87 15.34913313 37.38977072 49.42898044 45.76719577 35.22188643 16.84303351 424 519 191 1134 168.769073 36 11 16 3 3 8 13 0 0 2 2 1 1 1 1 2 5 0 0 4 5 1 2 6 9 7 9 1 1 2 5 1 1
43 DASTD28.2 TD Uncinata 2021.647779 0 0 0 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 1 0 0 1 6 1 0 0 2 0 4 0 1 1 0 26.5 16.1 63.66 70 36.85809559 82.50728863 21.91922934 9.232264334 41.22267506 8.260447036 849 95 85 1029 438.2373786 53 18 27 6 9 11 17 1 1 2 3 1 2 1 1 3 8 5 5 7 7 1 1 10 19 11 14 1 1 3 8 3 4
44 DASTD29.1 TD Uncinata 1669.985155 0 0 0 2 0 0 0 2 2 0 0 1 0 0 0 0 0 3 1 1 0 2 5 0 1 0 2 0 3 0 0 2 0 33.3 19.1 42.44 75 14.35036664 58.6038961 6.851512374 6.980519481 78.79812099 34.41558442 361 43 212 616 159.1047873 56 13 27 4 8 9 19 0 0 3 5 2 3 1 2 2 7 3 5 3 7 1 2 9 18 6 11 1 2 3 8 3 6
45 DASTD3.1 TD Uncinata 1701.056825 0 0 0 1 0 1 2 0 1 0 0 0 1 1 0 0 0 0 0 2 0 1 1 0 0 0 2 0 3 4 0 0 0 15.9 14.3 63.66 73 27.93023539 60.91954023 44.35906818 29.1954023 27.71069643 9.885057471 265 127 43 435 112.0892502 54 12 20 5 11 6 8 1 1 2 3 1 2 1 1 2 2 1 1 6 10 1 1 5 9 7 14 1 1 2 2 2 3
46 DASTD3.2 TD Uncinata 1698.031405 1 0 1 1 0 0 0 0 1 0 0 0 0 2 0 0 0 1 3 0 0 0 4 0 1 0 3 0 2 0 2 0 0 29.5 16.9 31.83 73 10.73641641 47.36 38.75154915 30.56 50.51203444 22.08 296 191 138 625 80.41351462 70 12 22 4 6 8 16 0 0 4 6 2 4 2 2 1 4 1 1 4 5 1 1 7 16 6 11 2 2 2 5 2 4
47 DASTD5.1 TD Uncinata 1897.508782 0 1 1 1 0 1 3 0 1 0 4 0 1 2 0 0 0 0 1 1 0 0 2 0 1 0 1 0 5 2 0 0 0 30.8 17 10.61 75 2.005440628 15.0997151 16.3155564 21.36752137 81.67900297 63.53276353 53 75 223 351 92.45539465 37 16 28 6 17 8 9 2 2 5 5 2 2 3 3 1 2 1 1 8 15 1 1 7 12 9 20 3 3 2 3 2 2
48 DASTD6.2 TD Uncinata 1949.833684 2 0 0 0 0 1 0 0 0 0 0 1 1 2 0 0 0 0 2 1 0 1 5 0 1 0 2 0 4 0 0 0 0 37.7 16.5 42.44 77 18.84538819 51.94968553 30.98361493 25.28301887 50.17099689 22.7672956 413 201 181 795 128.5612694 15 12 23 4 9 7 13 1 1 2 3 2 3 0 0 2 6 1 1 4 6 1 1 7 16 8 14 0 0 3 7 1 2
49 DASTF28.1 TF Uncinata 1765.343742 0 1 1 1 1 1 3 0 0 0 0 1 0 1 0 0 2 0 0 0 0 1 4 0 1 0 1 0 3 5 1 1 0 11.7 15.4 0 72 35.53519769 85.09174312 10.78431373 5.04587156 53.68048859 9.862385321 371 22 43 436 195.7149287 21 17 29 5 13 9 13 3 3 5 5 2 2 3 3 2 5 1 1 8 15 2 2 7 12 10 19 3 3 3 6 1 1
50 DASTF6.1 TF Uncinata 1893.559739 0 1 0 1 0 2 2 0 2 0 2 0 2 0 0 0 0 0 2 0 0 1 5 0 0 0 1 0 3 3 0 2 0 13.5 15.9 31.83 85 27.61151892 60.31331593 48.56013552 31.33159269 23.82834557 8.355091384 231 120 32 383 99.72127824 27 14 29 5 12 7 14 2 3 3 3 1 1 2 2 2 6 1 2 8 16 1 1 5 12 8 18 2 2 2 6 2 3
51 JOUTF1 TF Uncinata 1950.558342 0 0 0 1 0 1 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 4 0 0 0 0 0 4 0 0 1 0 2.4 7.1 10.61 55 100 100 0 0 0 0 265 0 0 265 152.9978213 49 9 17 4 8 4 8 1 1 1 1 0 0 1 1 2 6 1 2 4 4 1 2 4 11 6 10 1 1 2 6 0 0
52 JOUTF2 TF Uncinata 1991.808083 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 0 0 0 0 0 5 0 0 0 0 14.4 7.9 63.66 43 70.46149569 89.45409429 29.53850431 10.54590571 0 0 721 85 0 806 394.0308787 24 4 15 1 5 3 10 0 0 1 1 0 0 1 1 2 9 0 0 0 0 1 3 3 12 1 5 1 1 2 9 0 0
53 JOUTF3 TF Uncinata 2045.091907 0 0 0 2 0 2 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 4 4 0 0 0 0 0 2 0 0 2 2 5.2 8.3 10.61 50 85.48919018 97.41176471 14.51080982 2.588235294 0 0 414 11 0 425 235.9117066 73 10 22 4 6 4 12 2 4 1 2 0 0 1 2 2 8 0 0 6 10 1 4 3 8 7 12 1 2 2 8 0 0
54 LESBV02.1 BV Uncinata 2241.370117 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 5 0 1 1 2 0 2 0 0 1 0 82.6 14.4 212.21 37 9.365522841 36.57548126 14.4948301 20.36474164 76.13964706 43.0597771 361 201 425 987 115.3776408 30 11 18 3 5 8 13 0 0 4 5 3 4 1 1 2 6 0 0 3 4 1 1 7 13 5 7 1 1 3 7 2 3
55 LESBV1 BV Uncinata 2276.209961 0 0 1 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 1 7 0 0 0 1 0 1 0 0 0 0 43.7 13.8 95.49 23 11.69257718 45.63106796 25.23319466 29.4036061 63.07422816 24.96532594 329 212 180 721 78.43681109 23 7 15 3 5 4 10 0 0 2 2 1 1 1 1 2 8 1 2 2 4 2 2 3 9 2 3 1 1 2 8 2 3
56 LESBV2 BV Uncinata 2261.5 0 0 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0 0 1 3 0 0 0 1 0 1 2 0 0 0 68.5 15.2 647.23 73 15.35805006 45.62706271 35.24559751 34.98349835 49.39635243 19.38943894 553 424 235 1212 159.940614 5 9 15 4 6 5 9 0 0 2 3 1 1 1 2 2 4 1 2 3 5 1 1 5 9 4 6 1 2 2 4 2 3
57 LESBV3 BV Uncinata 2265.370117 0 0 0 2 0 0 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 3 7 0 0 0 2 0 4 0 0 0 0 52.6 13.5 84.88 75 21.60246759 64.07369498 21.12877759 20.67553736 57.26875482 15.25076766 626 202 149 977 261.4427917 8 8 23 4 9 4 14 0 0 2 4 1 2 1 2 2 10 1 1 3 5 1 3 4 15 3 8 1 2 2 10 2 3
58 LESBV4 BV Uncinata 2272.939941 0 0 0 1 0 0 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 1 5 0 0 0 0 0 2 0 0 0 0 57.9 13.8 74.27 72 19.86484632 55.09615385 26.87637212 26.53846154 53.25878156 18.36538462 573 276 191 1040 200.5650352 12 7 14 3 6 4 8 0 0 1 1 0 0 1 1 2 6 1 2 3 5 1 1 3 8 3 5 1 1 2 6 1 2
59 LESBV5 BV Uncinata 2208.280029 0 0 0 1 0 0 0 0 3 0 2 0 0 1 0 0 0 0 2 0 0 2 4 0 0 0 1 0 1 0 0 0 0 50.5 14.2 116.71 65 22.35312355 56.58995816 23.19407844 21.12970711 54.45279802 22.28033473 541 202 213 956 192.6248513 32 9 17 4 7 5 10 0 0 2 2 1 1 1 1 2 6 1 3 3 6 1 2 5 9 4 6 1 1 2 6 2 4
