""	"PotRichness"	"HOa"	"HOb"	"DWa"	"DWb"	"MGa"	"MGb"	"SHa"	"SHb"	"Lambda"	"File"	"Variable"	"PDF"	"Model"
"26"	"25.29318"	"0"	"1e+07"	"1e-05"	"586.6421"	"99.99217"	"134.8817"	"1e-05"	"141.6527"	"54.6459"	"./Results/Model Fits/Abu3/TOTA_PIUNs_pool.noho.model.txt"	"TOTA"	"PIUNs"	"noho.model"
"27"	"4"	"0"	"1e+07"	"799.9295"	"637.7277"	"100"	"74.77075"	"99.91534"	"122.6319"	"7.83608"	"./Results/Model Fits/Abu3/TRFA_PIUNs_pool.noho.model.txt"	"TRFA"	"PIUNs"	"noho.model"
"28"	"7"	"0"	"1e+07"	"5.926113"	"3.681998"	"5.59921e-05"	"46.13554"	"99.55472"	"102.8679"	"34.06985"	"./Results/Model Fits/Abu3/UBIA_PIUNs_pool.noho.model.txt"	"UBIA"	"PIUNs"	"noho.model"
"29"	"8"	"0"	"1e+07"	"800"	"525.445"	"0.04609122"	"93.93674"	"53.1891"	"30.74809"	"13.3742"	"./Results/Model Fits/Abu3/UNFA_PIUNs_pool.noho.model.txt"	"UNFA"	"PIUNs"	"noho.model"
"30"	"9"	"0"	"1e+07"	"1.000582e-05"	"77.71989"	"99.99822"	"67.65883"	"100"	"58.37063"	"39.07955"	"./Results/Model Fits/Abu3/UNNA_PIUNs_pool.noho.model.txt"	"UNNA"	"PIUNs"	"noho.model"
"31"	"18"	"30"	"14.93999"	"0"	"1e+07"	"99.99971"	"184.5743"	"1.00301e-05"	"131.133"	"12.86892"	"./Results/Model Fits/Abu3/CVNA_PIUNs_pool.nodw.model.txt"	"CVNA"	"PIUNs"	"nodw.model"
"32"	"4.005402"	"30"	"11.96955"	"0"	"1e+07"	"97.23515"	"105.1001"	"99.96867"	"144.2292"	"54.22544"	"./Results/Model Fits/Abu3/EXCA_PIUNs_pool.nodw.model.txt"	"EXCA"	"PIUNs"	"nodw.model"
"33"	"19"	"30"	"15.74789"	"0"	"1e+07"	"1e-05"	"78.30956"	"99.99992"	"91.46958"	"98.02491"	"./Results/Model Fits/Abu3/GENA_PIUNs_pool.nodw.model.txt"	"GENA"	"PIUNs"	"nodw.model"
"34"	"11"	"30"	"14.37253"	"0"	"1e+07"	"1e-05"	"40.3433"	"100"	"64.94209"	"57.32727"	"./Results/Model Fits/Abu3/GRFA_PIUNs_pool.nodw.model.txt"	"GRFA"	"PIUNs"	"nodw.model"
"35"	"9.013881"	"1e-05"	"7.454723"	"0"	"1e+07"	"20.23169"	"31.35302"	"49.17941"	"60.57493"	"93.56811"	"./Results/Model Fits/Abu3/GRNA_PIUNs_pool.nodw.model.txt"	"GRNA"	"PIUNs"	"nodw.model"
"36"	"23"	"30"	"17.47016"	"0"	"1e+07"	"1.008237e-05"	"86.78909"	"100"	"98.85784"	"93.03216"	"./Results/Model Fits/Abu3/NOCA_PIUNs_pool.nodw.model.txt"	"NOCA"	"PIUNs"	"nodw.model"
"37"	"24"	"30"	"16.3248"	"0"	"1e+07"	"1e-05"	"164.8476"	"1.000036e-05"	"198.6226"	"93.5435"	"./Results/Model Fits/Abu3/OVFA_PIUNs_pool.nodw.model.txt"	"OVFA"	"PIUNs"	"nodw.model"
